NumberUserDefinedAttributes;NumberOfPrivateAttributes;NumberOfAttributes;NumberOfAncestors;Bugged;NumberOfProtectedAttributes;NumberOfMethods_Mood;NumberOfCoupledClasses;Cohesion;NumberOfSubclasses;NumberOfPublicAttributes;NumberOfInheritedMethods;NumberPublicMethods;NumberOfPolymorphicMethods
0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;1.0;6.0;0.0;False;5.0;12.0;0.0;0.1388888888888889;0.0;0.0;0.0;12.0;12.0
0.0;1.0;6.0;0.0;True;0.0;3.0;1.0;0.5;0.0;5.0;0.0;2.0;3.0
0.0;1.0;6.0;0.0;True;0.0;3.0;1.0;0.5;0.0;5.0;0.0;2.0;3.0
0.0;1.0;6.0;0.0;True;0.0;3.0;1.0;0.5;0.0;5.0;0.0;2.0;3.0
0.0;1.0;6.0;0.0;True;0.0;3.0;1.0;0.5;0.0;5.0;0.0;2.0;3.0
0.0;1.0;6.0;0.0;True;0.0;3.0;1.0;0.5;0.0;5.0;0.0;2.0;3.0
1.0;1.0;1.0;0.0;False;0.0;3.0;0.0;0.4444444444444444;0.0;0.0;0.0;3.0;2.0
1.0;11.0;11.0;0.0;False;0.0;7.0;0.0;0.8571428571428571;0.0;0.0;0.0;2.0;6.0
0.0;3.0;18.0;0.0;False;14.0;49.0;0.0;0.07959183673469387;0.0;1.0;0.0;38.0;40.0
0.0;2.0;6.0;0.0;False;4.0;16.0;0.0;0.15;0.0;0.0;0.0;13.0;16.0
0.0;9.0;13.0;0.0;False;4.0;18.0;0.0;0.1111111111111111;0.0;0.0;0.0;14.0;17.0
0.0;1.0;1.0;0.0;False;0.0;3.0;0.0;0.3333333333333333;0.0;0.0;0.0;1.0;1.0
0.0;2.0;2.0;0.0;False;0.0;15.0;0.0;0.5111111111111111;0.0;0.0;0.0;15.0;0.0
0.0;3.0;3.0;0.0;False;0.0;32.0;0.0;0.13541666666666666;0.0;0.0;0.0;31.0;0.0
0.0;0.0;0.0;0.0;False;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0
0.0;1.0;5.0;0.0;False;4.0;10.0;0.0;0.2;0.0;0.0;0.0;10.0;10.0
0.0;28.0;32.0;0.0;False;1.0;7.0;0.0;1.0;0.0;3.0;0.0;1.0;7.0
0.0;1.0;16.0;0.0;False;8.0;15.0;0.0;0.12;0.0;7.0;0.0;15.0;15.0
0.0;17.0;17.0;0.0;False;0.0;37.0;0.0;0.08108108108108109;0.0;0.0;0.0;21.0;23.0
0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;5.0;10.0;0.0;False;5.0;19.0;0.0;0.1263157894736842;0.0;0.0;0.0;9.0;13.0
0.0;1.0;3.0;0.0;False;2.0;8.0;0.0;0.3333333333333333;0.0;0.0;0.0;8.0;8.0
0.0;1.0;3.0;0.0;False;2.0;8.0;0.0;0.3333333333333333;0.0;0.0;0.0;8.0;8.0
0.0;1.0;2.0;0.0;False;1.0;8.0;0.0;0.225;0.0;0.0;0.0;8.0;8.0
0.0;6.0;9.0;0.0;False;0.0;12.0;0.0;0.2083333333333333;0.0;3.0;0.0;12.0;12.0
0.0;3.0;3.0;0.0;False;0.0;16.0;0.0;0.33035714285714285;0.0;0.0;0.0;6.0;14.0
0.0;2.0;2.0;0.0;False;0.0;13.0;0.0;0.4230769230769231;0.0;0.0;0.0;9.0;13.0
0.0;3.0;6.0;0.0;False;0.0;11.0;0.0;0.19696969696969696;0.0;3.0;0.0;6.0;11.0
1.0;2.0;2.0;0.0;False;0.0;9.0;0.0;0.25925925925925924;0.0;0.0;0.0;8.0;8.0
1.0;2.0;2.0;0.0;False;0.0;9.0;0.0;0.25925925925925924;0.0;0.0;0.0;8.0;8.0
1.0;2.0;2.0;0.0;False;0.0;12.0;0.0;0.2361111111111111;0.0;0.0;0.0;11.0;11.0
1.0;2.0;2.0;0.0;False;0.0;17.0;0.0;0.22689075630252106;0.0;0.0;0.0;16.0;15.0
0.0;5.0;5.0;0.0;True;0.0;6.0;0.0;0.3333333333333333;0.0;0.0;0.0;6.0;0.0
0.0;4.0;15.0;0.0;False;0.0;3.0;0.0;0.5;0.0;11.0;0.0;2.0;2.0
1.0;3.0;3.0;0.0;False;0.0;2.0;0.0;0.5;0.0;0.0;0.0;1.0;1.0
1.0;2.0;2.0;0.0;False;0.0;17.0;0.0;0.2773109243697479;0.0;0.0;0.0;15.0;15.0
2.0;13.0;13.0;0.0;True;0.0;13.0;0.0;0.4615384615384616;0.0;0.0;0.0;10.0;6.0
2.0;13.0;13.0;0.0;True;0.0;13.0;0.0;0.4615384615384616;0.0;0.0;0.0;10.0;6.0
2.0;13.0;13.0;0.0;True;0.0;13.0;0.0;0.4615384615384616;0.0;0.0;0.0;10.0;6.0
1.0;2.0;2.0;0.0;False;0.0;12.0;0.0;0.2361111111111111;0.0;0.0;0.0;11.0;11.0
2.0;14.0;14.0;0.0;True;0.0;5.0;0.0;0.4;0.0;0.0;0.0;3.0;3.0
1.0;2.0;2.0;0.0;False;0.0;12.0;0.0;0.2361111111111111;0.0;0.0;0.0;11.0;11.0
2.0;10.0;12.0;0.0;False;0.0;9.0;0.0;0.4444444444444444;0.0;2.0;0.0;9.0;7.0
1.0;4.0;4.0;0.0;True;0.0;4.0;0.0;0.75;0.0;0.0;0.0;4.0;3.0
1.0;2.0;2.0;0.0;False;0.0;12.0;0.0;0.2361111111111111;0.0;0.0;0.0;11.0;11.0
1.0;2.0;2.0;0.0;False;0.0;12.0;0.0;0.2361111111111111;0.0;0.0;0.0;11.0;11.0
1.0;4.0;4.0;0.0;False;0.0;2.0;0.0;0.5;0.0;0.0;0.0;1.0;1.0
0.0;2.0;2.0;0.0;False;0.0;4.0;0.0;0.75;0.0;0.0;0.0;4.0;4.0
1.0;2.0;2.0;0.0;False;0.0;12.0;0.0;0.2361111111111111;0.0;0.0;0.0;11.0;11.0
1.0;2.0;2.0;0.0;False;0.0;14.0;0.0;0.2619047619047619;0.0;0.0;0.0;13.0;13.0
1.0;27.0;31.0;0.0;True;0.0;10.0;0.0;0.45;0.0;4.0;0.0;2.0;7.0
0.0;2.0;3.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
0.0;2.0;3.0;0.0;False;0.0;2.0;0.0;0.75;0.0;1.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;2.0;3.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
0.0;3.0;4.0;0.0;True;0.0;3.0;0.0;1.0;0.0;1.0;0.0;2.0;0.0
0.0;1.0;2.0;0.0;False;0.0;3.0;0.0;0.6666666666666666;0.0;1.0;0.0;0.0;0.0
0.0;1.0;4.0;0.0;False;0.0;2.0;0.0;1.0;0.0;3.0;0.0;2.0;0.0
0.0;2.0;3.0;0.0;False;0.0;2.0;0.0;0.5;0.0;1.0;0.0;0.0;0.0
0.0;2.0;3.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
0.0;2.0;2.0;0.0;False;0.0;8.0;0.0;0.28125;0.0;0.0;0.0;4.0;7.0
0.0;2.0;3.0;0.0;False;0.0;3.0;0.0;0.4166666666666667;0.0;1.0;0.0;0.0;0.0
0.0;4.0;5.0;0.0;False;0.0;3.0;0.0;0.6666666666666666;0.0;1.0;0.0;2.0;0.0
0.0;2.0;2.0;0.0;False;0.0;12.0;0.0;0.2083333333333333;0.0;0.0;0.0;12.0;12.0
0.0;1.0;1.0;0.0;False;0.0;4.0;0.0;0.3125;0.0;0.0;0.0;4.0;0.0
0.0;0.0;1.0;0.0;False;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
0.0;0.0;2.0;0.0;False;2.0;5.0;0.0;0.2;0.0;0.0;0.0;2.0;5.0
0.0;0.0;0.0;0.0;False;0.0;6.0;0.0;0.0;0.0;0.0;0.0;6.0;6.0
0.0;6.0;6.0;0.0;True;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0
0.0;6.0;6.0;0.0;True;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0
0.0;0.0;0.0;0.0;False;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0
0.0;0.0;2.0;0.0;False;2.0;4.0;0.0;0.25;0.0;0.0;0.0;2.0;4.0
0.0;0.0;0.0;0.0;False;0.0;4.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0
0.0;0.0;3.0;0.0;True;2.0;15.0;0.0;0.06666666666666668;0.0;1.0;0.0;13.0;14.0
0.0;0.0;0.0;0.0;False;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0
0.0;0.0;2.0;0.0;False;2.0;4.0;0.0;0.0;0.0;0.0;0.0;3.0;4.0
0.0;1.0;5.0;0.0;False;4.0;10.0;0.0;0.0;0.0;0.0;0.0;8.0;10.0
0.0;0.0;1.0;0.0;False;1.0;15.0;0.0;0.2;0.0;0.0;0.0;11.0;11.0
0.0;0.0;0.0;0.0;False;0.0;4.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0
0.0;0.0;0.0;0.0;False;0.0;14.0;0.0;0.8333333333333334;0.0;0.0;0.0;14.0;0.0
0.0;0.0;2.0;0.0;False;2.0;6.0;0.0;0.16666666666666666;0.0;0.0;0.0;3.0;5.0
0.0;1.0;4.0;0.0;True;0.0;12.0;0.0;0.6666666666666666;0.0;3.0;0.0;11.0;0.0
0.0;0.0;0.0;0.0;False;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0
0.0;5.0;5.0;0.0;False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
0.0;0.0;0.0;0.0;False;0.0;6.0;0.0;0.0;0.0;0.0;0.0;6.0;6.0
0.0;0.0;2.0;0.0;False;2.0;8.0;0.0;0.125;0.0;0.0;0.0;5.0;7.0
0.0;0.0;0.0;0.0;False;0.0;6.0;0.0;0.0;0.0;0.0;0.0;6.0;6.0
0.0;3.0;3.0;0.0;False;0.0;6.0;0.0;0.0;0.0;0.0;0.0;5.0;6.0
0.0;0.0;2.0;0.0;False;2.0;10.0;0.0;0.0;0.0;0.0;0.0;8.0;10.0
0.0;0.0;3.0;0.0;False;3.0;6.0;0.0;0.5;0.0;0.0;0.0;6.0;6.0
0.0;4.0;4.0;0.0;False;0.0;5.0;0.0;0.2;0.0;0.0;0.0;1.0;3.0
0.0;0.0;0.0;0.0;False;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
0.0;0.0;0.0;0.0;False;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
0.0;0.0;2.0;0.0;False;2.0;7.0;0.0;0.0;0.0;0.0;0.0;5.0;7.0
0.0;0.0;2.0;0.0;False;2.0;8.0;0.0;0.0;0.0;0.0;0.0;6.0;8.0
0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;3.0;3.0;0.0;False;0.0;8.0;0.0;0.25;0.0;0.0;0.0;5.0;6.0
0.0;0.0;0.0;0.0;False;0.0;4.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0
0.0;8.0;8.0;0.0;False;0.0;16.0;0.0;0.5;0.0;0.0;0.0;16.0;16.0
0.0;2.0;12.0;0.0;False;0.0;10.0;0.0;0.125;0.0;10.0;0.0;8.0;7.0
0.0;0.0;0.0;0.0;False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
0.0;7.0;7.0;0.0;False;0.0;8.0;0.0;0.1875;0.0;0.0;0.0;2.0;4.0
0.0;0.0;0.0;0.0;False;0.0;7.0;0.0;0.21428571428571427;0.0;0.0;0.0;6.0;4.0
0.0;0.0;0.0;0.0;False;0.0;7.0;0.0;0.21428571428571427;0.0;0.0;0.0;6.0;4.0
0.0;0.0;1.0;0.0;False;1.0;2.0;0.0;0.5;0.0;0.0;0.0;2.0;2.0
0.0;0.0;2.0;0.0;False;2.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0
0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;10.0;0.0;False;10.0;10.0;0.0;0.2;0.0;0.0;0.0;6.0;8.0
0.0;0.0;21.0;0.0;False;21.0;12.0;0.0;0.0;0.0;0.0;0.0;10.0;12.0
0.0;0.0;0.0;0.0;False;0.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0
0.0;0.0;0.0;0.0;False;0.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0
0.0;0.0;0.0;0.0;False;0.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0
0.0;3.0;3.0;0.0;False;0.0;6.0;0.0;0.0;0.0;0.0;0.0;5.0;6.0
0.0;0.0;0.0;0.0;False;0.0;9.0;0.0;0.0;0.0;0.0;0.0;7.0;9.0
0.0;14.0;14.0;0.0;False;0.0;14.0;0.0;0.0;0.0;0.0;0.0;14.0;14.0
0.0;3.0;3.0;0.0;False;0.0;8.0;0.0;0.0;0.0;0.0;0.0;6.0;8.0
0.0;1.0;1.0;0.0;True;0.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0
0.0;1.0;1.0;0.0;True;0.0;27.0;0.0;0.09523809523809523;0.0;0.0;0.0;17.0;16.0
0.0;0.0;0.0;0.0;False;0.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0
0.0;2.0;4.0;0.0;True;2.0;19.0;0.0;0.0;0.0;0.0;0.0;17.0;19.0
0.0;0.0;0.0;0.0;False;0.0;4.0;0.0;0.0;0.0;0.0;0.0;3.0;4.0
0.0;4.0;4.0;0.0;False;0.0;12.0;0.0;0.0;0.0;0.0;0.0;12.0;12.0
0.0;1.0;1.0;0.0;False;0.0;7.0;0.0;0.0;0.0;0.0;0.0;6.0;7.0
0.0;0.0;0.0;0.0;False;0.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0
0.0;0.0;0.0;0.0;False;0.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0
0.0;0.0;1.0;0.0;False;1.0;5.0;0.0;0.0;0.0;0.0;0.0;3.0;5.0
0.0;10.0;10.0;0.0;False;0.0;10.0;0.0;0.1;0.0;0.0;0.0;7.0;9.0
0.0;0.0;0.0;0.0;False;0.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0
0.0;0.0;9.0;0.0;False;9.0;11.0;0.0;0.18181818181818185;0.0;0.0;0.0;7.0;9.0
0.0;3.0;13.0;0.0;True;0.0;19.0;0.0;0.06578947368421052;0.0;10.0;0.0;17.0;16.0
0.0;0.0;0.0;0.0;False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
0.0;1.0;8.0;0.0;False;7.0;11.0;0.0;0.13636363636363635;0.0;0.0;0.0;7.0;11.0
0.0;2.0;2.0;0.0;False;0.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0
0.0;0.0;0.0;0.0;False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
0.0;0.0;0.0;0.0;True;0.0;6.0;0.0;0.25;0.0;0.0;0.0;2.0;6.0
0.0;0.0;0.0;0.0;False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
0.0;0.0;0.0;0.0;False;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0
0.0;1.0;1.0;0.0;False;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0
0.0;6.0;6.0;0.0;False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
0.0;1.0;1.0;0.0;False;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0
0.0;0.0;0.0;0.0;False;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0
0.0;3.0;3.0;0.0;False;0.0;13.0;0.0;0.0;0.0;0.0;0.0;13.0;13.0
