;fixes_insertions_std;issues_issuetype_Sub_task_min;issues_resolution_Duplicate_std;non_fixes_count;issues_insertions_count;non_fixes_deletions_max;issues_resolution_Cannot_Reproduce_max;issues_issuetype_Bug_max;issues_resolution_Cannot_Reproduce_count;issues_resolution_Wont_Fix_std;issues_priority_Trivial_mean;non_fixes_deletions_mean;issues_priority_Critical_count;non_fixes_changes_max;non_fixes_insertions_min;issues_count;issues_resolution_Incomplete_count;fixes_insertions_min;non_fixes_insertions_count;issues_issuetype_New_Feature_count;issues_resolution_Cannot_Reproduce_mean;issues_issuetype_Wish_mean;issues_issuetype_Task_count;issues_priority_Critical_mean;issues_issuetype_Task_std;issues_priority_Critical_min;fixes_changes_count;issues_resolution_None_count;non_fixes_deletions_count;issues_resolution_Duplicate_mean;issues_insertions_min;issues_issuetype_Task_max;issues_resolution_None_mean;fixes_deletions_mean;issues_issuetype_Improvement_mean;issues_issuetype_Bug_mean;fixes_changes_min;issues_resolution_Wont_Fix_max;issues_priority_Minor_std;issues_resolution_Incomplete_min;issues_priority_Minor_min;issues_issuetype_New_Feature_max;issues_issuetype_Improvement_std;issues_resolution_Incomplete_max;issues_issuetype_Task_mean;non_fixes_insertions_mean;non_fixes_changes_count;issues_issuetype_Test_max;fixes_deletions_std;issues_deletions_std;issues_insertions_max;issues_resolution_Incomplete_std;non_fixes_deletions_min;issues_priority_Critical_max;fixes_insertions_mean;issues_deletions_min;issues_resolution_None_max;issues_issuetype_Test_mean;issues_issuetype_New_Feature_min;issues_priority_Trivial_count;issues_changes_count;issues_priority_Major_count;issues_issuetype_Wish_std;issues_resolution_Wont_Fix_mean;issues_issuetype_Bug_std;issues_issuetype_Wish_count;issues_resolution_Duplicate_count;issues_resolution_Fixed_max;issues_resolution_Cannot_Reproduce_std;issues_deletions_mean;issues_issuetype_New_Feature_std;issues_issuetype_New_Feature_mean;issues_priority_Trivial_std;issues_issuetype_Test_count;issues_resolution_Fixed_mean;issues_changes_std;fixes_deletions_max;issues_issuetype_Test_min;issues_issuetype_Sub_task_mean;issues_deletions_count;issues_resolution_Fixed_count;non_fixes_insertions_std;issues_issuetype_Wish_min;Bugged;issues_changes_max;issues_insertions_std;issues_changes_min;issues_priority_Blocker_mean;issues_priority_Blocker_std;issues_priority_Major_min;non_fixes_changes_std;issues_priority_Blocker_max;issues_resolution_None_min;fixes_changes_max;issues_priority_Major_mean;issues_priority_Major_max;issues_issuetype_Sub_task_count;fixes_deletions_count;issues_priority_Minor_mean;issues_resolution_Incomplete_mean;non_fixes_deletions_std;issues_resolution_Fixed_min;fixes_changes_mean;issues_resolution_Not_A_Problem_count;non_fixes_insertions_max;issues_priority_Trivial_min;issues_priority_Trivial_max;issues_issuetype_Task_min;issues_insertions_mean;issues_issuetype_Test_std;issues_priority_Minor_count;issues_resolution_Duplicate_max;fixes_insertions_count;non_fixes_changes_min;issues_priority_Minor_max;issues_issuetype_Improvement_min;issues_issuetype_Improvement_count;issues_issuetype_Improvement_max;issues_resolution_Duplicate_min;fixes_deletions_min;issues_issuetype_Wish_max;fixes_changes_std;issues_resolution_Wont_Fix_count;issues_resolution_Fixed_std;fixes_count;issues_issuetype_Sub_task_std;issues_priority_Critical_std;issues_issuetype_Bug_count;issues_priority_Blocker_count;non_fixes_changes_mean;issues_priority_Blocker_min;issues_changes_mean;issues_issuetype_Bug_min;issues_issuetype_Sub_task_max;issues_resolution_None_std;issues_priority_Major_std;issues_deletions_max;fixes_insertions_max
count;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;538;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;42.57710678292887;0.008025682182985553;0.0;0.0;4.150882825040129;0.0;0.004815409309791332;0.49759229534510435;4.150882825040129;0.006748621278985108;0.013510606098885157;0.0;4.150882825040129;0.0;0.0;4.150882825040129;4.150882825040129;10.219903691813805;0.0;4.150882825040129;0.0012633515320374137;0.00018119576848814756;4.150882825040129;0.026752358433924872;0.06270303376116769;0.006420545746388443;9.717495987158909;4.150882825040129;0.0;0.0;16.345104333868377;0.1492776886035313;0.02285935179404808;6.4275782930534415;0.305941443745533;0.2617684795825859;12.285714285714286;0.014446227929373997;0.11090295417225705;0.0;0.009630818619582664;0.38041733547351525;0.23808968362743246;0.0;0.04264106651822487;0.0;0.0;0.060995184590690206;11.021378245459067;7.663369869207668;94.48635634028892;0.0;0.0;0.1348314606741573;35.9015493104495;0.2808988764044944;0.06741573033707865;0.04323975401317633;0.0593900481540931;4.150882825040129;4.150882825040129;4.150882825040129;0.000831717744927537;0.004193570942166448;0.20993192593357315;4.150882825040129;4.150882825040129;0.8378812199036918;0.0016976102270327505;4.987769269571679;0.16169697088497226;0.1640489637274574;0.02694846327581139;4.150882825040129;0.8143803549452312;35.90003411644264;38.690208667736755;0.019261637239165328;0.02487572585801746;4.150882825040129;4.150882825040129;0.0;0.0;;102.54574638844302;34.67073476954921;18.985553772070627;0.02770821223974255;0.04522029167641704;0.4590690208667737;0.0;0.11556982343499198;0.004815409309791332;142.1187800963082;0.709805131240872;0.8154093097913323;4.150882825040129;9.717495987158909;0.06492032120005864;0.0;0.0;0.7560192616372392;42.32912760350294;4.150882825040129;0.0;0.0016051364365971107;0.0738362760834671;0.009630818619582664;39.04951953039703;0.021184032724728193;4.150882825040129;0.0;9.717495987158909;0.0;0.26484751203852325;0.12680577849117175;4.150882825040129;0.5634028892455859;0.0;0.08346709470304976;0.004815409309791332;44.88219462977041;4.150882825040129;0.040697958068318524;9.717495987158909;0.03558528292964287;0.04803168387565741;4.150882825040129;4.150882825040129;0.0;0.006420545746388443;44.03728879996871;0.10112359550561797;0.09791332263242375;0.032251726562300666;0.17561568884301026;19.810593900481543;130.84751203852326
std;54.93643572875206;0.08929764878715961;0.0;0.0;7.408804293012763;0.0;0.06928149593195962;0.5003959661095823;7.408804293012763;0.05853632683229361;0.06972365501406132;0.0;7.408804293012763;0.0;0.0;7.408804293012763;7.408804293012763;29.837794964622276;0.0;7.408804293012763;0.026935006322733716;0.0034626196602523737;7.408804293012763;0.10302608096930307;0.16702768771906587;0.07993483898742809;17.90867684280534;7.408804293012763;0.0;0.0;37.784521971198615;0.3566483288648759;0.10255783377006382;9.52583683758101;0.34355788751580785;0.3273520816512689;30.26153796214982;0.11941701869800496;0.19839836933920882;0.0;0.09774149816468279;0.4858795377761291;0.2790029271379911;0.0;0.1381617128089699;0.0;0.0;0.23951378598010545;21.43759207994375;21.219003090388565;154.1773712029208;0.0;0.0;0.34181790648696253;38.743671367618866;1.0727872587886726;0.25094208131876966;0.18123719809847985;0.2365431927217269;7.408804293012763;7.408804293012763;7.408804293012763;0.01322759054835071;0.03836297143862552;0.2643966406654335;7.408804293012763;7.408804293012763;0.36885588993620755;0.026863425467104362;12.065035708674296;0.2463250171972849;0.27558857714404655;0.10579210561846057;7.408804293012763;0.3691939172785269;63.8191017399064;95.00454558657037;0.13755361628215765;0.11209364471104834;7.408804293012763;7.408804293012763;0.0;0.0;;169.99279560215643;62.15017502208687;39.98232869270168;0.10874772823009785;0.13840851733974346;0.4987222581024966;0.0;0.3199652631685738;0.06928149593195962;203.43409943749234;0.3717184967665225;0.388276906331498;7.408804293012763;17.90867684280534;0.14459681415050882;0.0;0.0;0.4298263460181178;42.54181023269205;7.408804293012763;0.0;0.04006415401075019;0.26171439263471;0.0977414981646828;50.555912653676586;0.10269418705205495;7.408804293012763;0.0;17.90867684280534;0.0;0.44160653893589297;0.33302265572631173;7.408804293012763;0.4963623071826051;0.0;0.44226054628072986;0.06928149593195962;58.63903909957875;7.408804293012763;0.14153042658591108;17.90867684280534;0.12295117323630993;0.13376137125971582;7.408804293012763;7.408804293012763;0.0;0.07993483898742809;56.04374604447531;0.30173457140443927;0.2974362244036449;0.12826282921242768;0.2440166880959891;59.012310695598536;185.0403298077899
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;7.382515032308875;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5773502691896258;0.0;6.0;0.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;;9.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;42.0;0.6;1.0;1.0;2.0;0.0;0.0;0.0;1.0;16.633089133089133;1.0;0.0;0.0;0.0;0.0;4.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;9.94301781230486;1.0;0.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;37.0
50%;24.46429359555612;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;2.0;1.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;5.0;2.0;0.0;0.0;2.0;0.0;0.0;4.333333333333333;0.25;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.395705362937858;0.7071067811865476;49.0;0.0;0.0;0.0;22.84615384615385;0.0;0.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;2.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;1.0;10.07336722614277;14.0;0.0;0.0;2.0;2.0;0.0;0.0;;52.0;7.7781745930520225;3.0;0.0;0.0;0.0;0.0;0.0;0.0;73.0;0.8571428571428571;1.0;2.0;5.0;0.0;0.0;0.0;1.0;28.5;2.0;0.0;0.0;0.0;0.0;21.8;0.0;2.0;0.0;5.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;24.85290056847825;2.0;0.0;5.0;0.0;0.0;2.0;2.0;0.0;0.0;26.5;0.0;0.0;0.0;0.0;2.0;71.0
75%;51.3605623396848;0.0;0.0;0.0;5.0;0.0;0.0;1.0;5.0;0.0;0.0;0.0;5.0;0.0;0.0;5.0;5.0;3.0;0.0;5.0;0.0;0.0;5.0;0.0;0.0;0.0;10.0;5.0;0.0;0.0;11.5;0.0;0.0;7.821052631578947;0.5;0.5;7.0;0.0;0.22696007531575413;0.0;0.0;1.0;0.5163977794943222;0.0;0.0;0.0;0.0;0.0;10.402821933737847;7.59069782204555;109.0;0.0;0.0;0.0;47.02941176470589;0.0;0.0;0.0;0.0;5.0;5.0;5.0;0.0;0.0;0.5;5.0;5.0;1.0;0.0;5.583333333333334;0.4045199174779452;0.25;0.0;5.0;1.0;43.09346913671369;30.5;0.0;0.0;5.0;5.0;0.0;0.0;;116.5;42.87697723259183;15.0;0.0;0.0;1.0;0.0;0.0;0.0;157.5;1.0;1.0;5.0;10.0;0.07692307692307693;0.0;0.0;1.0;51.0;5.0;0.0;0.0;0.0;0.0;52.8;0.0;5.0;0.0;10.0;0.0;1.0;0.0;5.0;1.0;0.0;0.0;0.0;54.231275009165415;5.0;0.0;10.0;0.0;0.0;5.0;5.0;0.0;0.0;58.125;0.0;0.0;0.0;0.4409585518440984;18.0;147.0
max;409.0036674652197;1.0;0.0;0.0;128.0;0.0;1.0;1.0;128.0;0.7071067811865476;1.0;0.0;128.0;0.0;0.0;128.0;128.0;316.0;0.0;128.0;0.6666666666666666;0.08333333333333333;128.0;1.0;0.7071067811865476;1.0;317.0;128.0;0.0;0.0;326.0;1.0;1.0;83.0;1.0;1.0;316.0;1.0;0.7071067811865476;0.0;1.0;1.0;0.7071067811865476;0.0;1.0;0.0;0.0;1.0;175.65821927823364;266.33625363438597;1153.0;0.0;0.0;1.0;316.0;11.0;1.0;1.0;1.0;128.0;128.0;128.0;0.28232985128663995;0.5;0.7071067811865476;128.0;128.0;1.0;0.5773502691896258;137.0;0.7071067811865476;1.0;0.7071067811865476;128.0;1.0;430.9070720722797;894.0;1.0;1.0;128.0;128.0;0.0;0.0;;1497.0;431.75218862323374;335.0;1.0;0.7071067811865476;1.0;0.0;1.0;1.0;1749.0;1.0;1.0;128.0;317.0;1.0;0.0;0.0;1.0;316.0;128.0;0.0;1.0;1.0;1.0;326.0;0.7071067811865476;128.0;0.0;317.0;0.0;1.0;1.0;128.0;1.0;0.0;7.0;1.0;401.33568659332224;128.0;0.7071067811865476;317.0;0.7071067811865476;0.7071067811865476;128.0;128.0;0.0;1.0;394.8;1.0;1.0;0.7071067811865476;0.7071067811865476;884.0;1749.0
