NMIR;NORM;WMC_CK_std;WMC_CK_75%;WMC_CK_count;WMC_CK_mean;WMC_CK_25%;WMC_CK_max;NPM;WMC_CK_min;Bugged;NOCh;WMC_CK_50%;NMI;WMC;DIT
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.7071067811865476;1.75;2.0;1.5;1.25;2.0;1.0;1.0;False;0.0;1.5;0.0;1.0;1.0
0.0;0.0;0.0;1.0;4.0;1.0;1.0;1.0;3.0;1.0;False;0.0;1.0;0.0;3.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;False;0.0;0.0;0.0;4.0;1.0
0.0;0.0;0.7559289460184545;1.0;7.0;1.2857142857142858;1.0;3.0;2.0;1.0;False;0.0;1.0;0.0;4.0;1.0
0.0;0.0;0.40824829046386296;1.0;6.0;1.1666666666666667;1.0;2.0;4.0;1.0;False;0.0;1.0;0.0;7.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;False;0.0;0.0;0.0;4.0;1.0
0.0;0.0;0.0;1.0;9.0;1.0;1.0;1.0;2.0;1.0;False;0.0;1.0;0.0;4.0;1.0
0.0;0.0;0.0;1.0;4.0;1.0;1.0;1.0;4.0;1.0;False;0.0;1.0;0.0;4.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
0.0;0.0;2.16794833886788;2.0;5.0;2.2;1.0;6.0;4.0;1.0;False;0.0;1.0;0.0;10.0;1.0
0.0;0.0;0.8944271909999159;1.0;5.0;1.4;1.0;3.0;5.0;1.0;False;0.0;1.0;0.0;9.0;1.0
0.0;0.0;0.0;1.0;5.0;1.0;1.0;1.0;0.0;1.0;False;0.0;1.0;0.0;6.0;1.0
0.0;0.0;0.0;1.0;2.0;1.0;1.0;1.0;2.0;1.0;False;0.0;1.0;0.0;4.0;1.0
0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;18.0;1.0;False;0.0;1.0;0.0;30.0;1.0
0.0;0.0;0.0;1.0;2.0;1.0;1.0;1.0;18.0;1.0;False;0.0;1.0;0.0;30.0;1.0
0.0;0.0;0.5477225575051661;2.0;5.0;1.6;1.0;2.0;18.0;1.0;False;0.0;2.0;0.0;30.0;1.0
0.0;0.0;0.0;1.0;3.0;1.0;1.0;1.0;18.0;1.0;False;0.0;1.0;0.0;30.0;1.0
0.0;0.0;0.0;1.0;25.0;1.0;1.0;1.0;18.0;1.0;False;0.0;1.0;0.0;30.0;1.0
0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;18.0;1.0;False;0.0;1.0;0.0;30.0;1.0
0.0;0.0;0.0;1.0;3.0;1.0;1.0;1.0;18.0;1.0;False;0.0;1.0;0.0;30.0;1.0
0.0;0.0;0.0;1.0;2.0;1.0;1.0;1.0;18.0;1.0;False;0.0;1.0;0.0;30.0;1.0
0.0;0.0;0.0;1.0;4.0;1.0;1.0;1.0;18.0;1.0;False;0.0;1.0;0.0;30.0;1.0
0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;18.0;1.0;False;0.0;1.0;0.0;30.0;1.0
0.0;0.0;0.0;1.0;3.0;1.0;1.0;1.0;18.0;1.0;False;0.0;1.0;0.0;30.0;1.0
0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;18.0;1.0;False;0.0;1.0;0.0;30.0;1.0
0.0;0.0;0.0;2.0;1.0;2.0;2.0;2.0;18.0;2.0;False;0.0;2.0;0.0;30.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;False;0.0;0.0;0.0;6.0;1.0
0.0;0.0;0.0;1.0;7.0;1.0;1.0;1.0;4.0;1.0;False;0.0;1.0;0.0;6.0;1.0
0.0;0.0;2.0;1.0;9.0;1.6666666666666667;1.0;7.0;7.0;1.0;False;0.0;1.0;0.0;17.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;False;0.0;0.0;0.0;7.0;1.0
0.0;0.0;1.0;1.0;9.0;1.3333333333333333;1.0;4.0;3.0;1.0;False;0.0;1.0;0.0;7.0;1.0
0.0;0.0;0.0;1.0;10.0;1.0;1.0;1.0;0.0;1.0;False;0.0;1.0;0.0;0.0;0.0
0.0;0.0;1.8929694486000912;2.75;4.0;2.25;1.0;5.0;3.0;1.0;False;0.0;1.5;0.0;6.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;False;0.0;0.0;0.0;6.0;1.0
0.0;0.0;2.0;1.75;6.0;2.0;1.0;6.0;3.0;1.0;False;0.0;1.0;0.0;8.0;1.0
0.0;0.0;0.33333333333333337;1.0;9.0;1.1111111111111112;1.0;2.0;9.0;1.0;False;0.0;1.0;0.0;10.0;1.0
0.0;0.0;0.8944271909999159;1.0;5.0;1.4;1.0;3.0;4.0;1.0;False;0.0;1.0;0.0;5.0;1.0
0.0;0.0;1.4142135623730951;2.5;2.0;2.0;1.5;3.0;1.0;1.0;False;0.0;2.0;0.0;1.0;1.0
0.0;0.0;0.0;1.0;8.0;1.0;1.0;1.0;6.0;1.0;False;0.0;1.0;0.0;8.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;False;0.0;0.0;0.0;7.0;1.0
0.0;0.0;0.8432740427115678;1.0;10.0;1.4;1.0;3.0;5.0;1.0;False;0.0;1.0;0.0;7.0;1.0
0.0;0.0;0.0;1.0;5.0;1.0;1.0;1.0;5.0;1.0;False;0.0;1.0;0.0;5.0;1.0
0.0;0.0;0.7867957924694431;1.5;7.0;1.4285714285714286;1.0;3.0;5.0;1.0;False;0.0;1.0;0.0;8.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;False;0.0;0.0;0.0;8.0;1.0
0.0;0.0;1.0;1.5;4.0;1.5;1.0;3.0;1.0;1.0;False;0.0;1.0;0.0;3.0;1.0
0.0;0.0;1.7320508075688772;2.5;3.0;2.0;1.0;4.0;1.0;1.0;False;0.0;1.0;0.0;2.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;False;0.0;0.0;0.0;2.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;False;0.0;0.0;0.0;2.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;False;0.0;0.0;0.0;2.0;1.0
0.0;0.0;0.5773502691896257;1.5;3.0;1.3333333333333333;1.0;2.0;2.0;1.0;False;0.0;1.0;0.0;3.0;1.0
0.0;0.0;0.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;False;0.0;1.0;0.0;1.0;1.0
0.0;0.0;0.5;1.25;4.0;1.25;1.0;2.0;3.0;1.0;False;0.0;1.0;0.0;3.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;False;0.0;0.0;0.0;3.0;1.0
0.0;0.0;0.7071067811865476;1.75;2.0;1.5;1.25;2.0;1.0;1.0;False;0.0;1.5;0.0;1.0;1.0
0.0;0.0;0.0;1.0;3.0;1.0;1.0;1.0;3.0;1.0;False;0.0;1.0;0.0;3.0;1.0
0.0;0.0;1.0;1.5;4.0;1.5;1.0;3.0;3.0;1.0;False;0.0;1.0;0.0;3.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;False;0.0;0.0;0.0;3.0;1.0
0.0;0.0;0.3779644730092273;1.0;7.0;1.1428571428571428;1.0;2.0;2.0;1.0;False;0.0;1.0;0.0;2.0;1.0
0.0;0.0;0.5773502691896257;2.0;3.0;1.6666666666666667;1.5;2.0;3.0;1.0;False;0.0;2.0;0.0;4.0;1.0
0.0;0.0;1.4960264830861911;1.5;7.0;1.7142857142857142;1.0;5.0;5.0;1.0;False;0.0;1.0;0.0;6.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;False;0.0;0.0;0.0;6.0;1.0
0.0;0.0;1.6431676725154984;4.0;5.0;2.8;1.0;4.0;3.0;1.0;False;0.0;4.0;0.0;8.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0.0;True;0.0;0.0;0.0;11.0;1.0
0.0;0.0;0.0;1.0;12.0;1.0;1.0;1.0;11.0;1.0;True;0.0;1.0;0.0;11.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0.0;True;0.0;0.0;0.0;11.0;1.0
0.0;0.0;1.8929694486000912;2.75;4.0;2.25;1.0;5.0;3.0;1.0;False;0.0;1.5;0.0;3.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;False;0.0;0.0;0.0;3.0;1.0
0.0;0.0;0.5477225575051661;2.0;5.0;1.4;1.0;2.0;1.0;1.0;False;0.0;1.0;0.0;2.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;False;0.0;0.0;0.0;2.0;1.0
0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;10.0;1.0;False;0.0;1.0;0.0;14.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;False;0.0;0.0;0.0;14.0;1.0
0.0;0.0;0.5773502691896257;1.0;16.0;1.25;1.0;3.0;10.0;1.0;False;0.0;1.0;0.0;14.0;1.0
0.0;0.0;0.0;1.0;15.0;1.0;1.0;1.0;12.0;1.0;False;0.0;1.0;0.0;15.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;False;0.0;0.0;0.0;4.0;1.0
0.0;0.0;0.0;1.0;5.0;1.0;1.0;1.0;3.0;1.0;False;0.0;1.0;0.0;4.0;1.0
0.0;0.0;0.4472135954999579;1.0;5.0;1.2;1.0;2.0;4.0;1.0;False;0.0;1.0;0.0;6.0;1.0
0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;6.0;1.0;True;0.0;1.0;0.0;9.0;1.0
0.0;0.0;0.4385290096535146;1.0;13.0;1.2307692307692308;1.0;2.0;6.0;1.0;True;0.0;1.0;0.0;9.0;1.0
0.0;0.0;0.5477225575051661;2.0;5.0;1.4;1.0;2.0;3.0;1.0;False;0.0;1.0;0.0;6.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;False;0.0;0.0;0.0;3.0;1.0
0.0;0.0;0.5;1.25;4.0;1.25;1.0;2.0;2.0;1.0;False;0.0;1.0;0.0;3.0;1.0
0.0;0.0;1.1303883305208782;1.0;9.0;1.5555555555555556;1.0;4.0;6.0;1.0;False;0.0;1.0;0.0;10.0;1.0
0.0;0.0;1.5735915849388862;2.0;7.0;1.8571428571428568;1.0;5.0;5.0;1.0;False;0.0;1.0;0.0;9.0;1.0
0.0;0.0;1.1547005383792517;3.0;4.0;2.0;1.0;3.0;3.0;1.0;False;0.0;2.0;0.0;5.0;1.0
0.0;0.0;2.0714509627092528;2.0;11.0;2.090909090909091;1.0;8.0;4.0;1.0;False;0.0;1.0;0.0;12.0;1.0
0.0;0.0;0.5163977794943222;1.75;6.0;1.3333333333333333;1.0;2.0;4.0;1.0;False;0.0;1.0;0.0;4.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;False;0.0;0.0;0.0;8.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;False;0.0;0.0;0.0;8.0;1.0
0.0;0.0;0.5;2.0;9.0;1.3333333333333333;1.0;2.0;5.0;1.0;False;0.0;1.0;0.0;8.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;False;0.0;0.0;0.0;7.0;1.0
0.0;0.0;0.3535533905932738;1.0;8.0;1.125;1.0;2.0;6.0;1.0;False;0.0;1.0;0.0;7.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;False;0.0;0.0;0.0;1.0;1.0
0.0;0.0;0.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;False;0.0;1.0;0.0;1.0;1.0
0.0;0.0;1.7021856236720767;1.0;13.0;1.6923076923076923;1.0;7.0;11.0;1.0;False;0.0;1.0;0.0;18.0;1.0
0.0;0.0;0.0;1.0;3.0;1.0;1.0;1.0;2.0;1.0;False;0.0;1.0;0.0;3.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;False;0.0;0.0;0.0;3.0;1.0
0.0;0.0;4.242640687119285;5.5;2.0;4.0;2.5;7.0;1.0;1.0;False;0.0;4.0;0.0;5.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;False;0.0;0.0;0.0;5.0;1.0
0.0;0.0;0.5477225575051661;2.0;6.0;1.5;1.0;2.0;4.0;1.0;False;0.0;1.5;0.0;10.0;1.0
0.0;0.0;0.4045199174779453;1.0;11.0;1.181818181818182;1.0;2.0;9.0;1.0;False;0.0;1.0;0.0;15.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;False;0.0;0.0;0.0;15.0;1.0
0.0;0.0;2.1213203435596424;3.25;2.0;2.5;1.75;4.0;1.0;1.0;False;0.0;2.5;0.0;4.0;1.0
0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;False;0.0;1.0;0.0;1.0;1.0
0.0;0.0;0.0;1.0;4.0;1.0;1.0;1.0;4.0;1.0;False;0.0;1.0;0.0;4.0;1.0
0.0;0.0;1.1547005383792517;2.0;3.0;1.6666666666666667;1.0;3.0;2.0;1.0;False;0.0;1.0;0.0;4.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;True;0.0;0.0;0.0;1.0;1.0
0.0;0.0;0.0;1.0;4.0;1.0;1.0;1.0;1.0;1.0;True;0.0;1.0;0.0;1.0;1.0
0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;False;0.0;1.0;0.0;1.0;1.0
0.0;0.0;0.40824829046386296;1.0;6.0;1.1666666666666667;1.0;2.0;5.0;1.0;True;0.0;1.0;0.0;6.0;1.0
0.0;0.0;0.33333333333333337;1.0;9.0;1.1111111111111112;1.0;2.0;3.0;1.0;False;0.0;1.0;0.0;6.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;False;0.0;0.0;0.0;6.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;False;0.0;0.0;0.0;6.0;1.0
0.0;0.0;0.0;1.0;9.0;1.0;1.0;1.0;6.0;1.0;True;0.0;1.0;0.0;8.0;1.0
0.0;0.0;0.7559289460184544;1.0;7.0;1.2857142857142858;1.0;3.0;1.0;1.0;True;0.0;1.0;0.0;5.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;True;0.0;0.0;0.0;5.0;1.0
0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;True;0.0;1.0;0.0;5.0;1.0
0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;True;0.0;1.0;0.0;5.0;1.0
0.0;0.0;0.5773502691896257;1.5;3.0;1.3333333333333333;1.0;2.0;2.0;1.0;False;0.0;1.0;0.0;2.0;1.0
0.0;0.0;0.4472135954999579;1.0;5.0;1.2;1.0;2.0;3.0;1.0;False;0.0;1.0;0.0;4.0;1.0
0.0;0.0;0.0;1.0;7.0;1.0;1.0;1.0;4.0;1.0;False;0.0;1.0;0.0;4.0;1.0
0.0;0.0;0.5773502691896257;1.5;3.0;1.3333333333333333;1.0;2.0;1.0;1.0;False;0.0;1.0;0.0;1.0;1.0
0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;False;0.0;1.0;0.0;1.0;1.0
0.0;0.0;0.4472135954999579;1.0;5.0;1.2;1.0;2.0;4.0;1.0;False;0.0;1.0;0.0;5.0;1.0
0.0;0.0;0.4472135954999579;1.0;5.0;1.2;1.0;2.0;4.0;1.0;False;0.0;1.0;0.0;5.0;1.0
0.0;0.0;0.5163977794943222;2.0;10.0;1.4;1.0;2.0;6.0;1.0;True;0.0;1.0;0.0;7.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;True;0.0;0.0;0.0;7.0;1.0
0.0;0.0;0.4629100498862757;1.25;8.0;1.25;1.0;2.0;5.0;1.0;False;0.0;1.0;0.0;7.0;1.0
0.0;0.0;0.4472135954999581;2.0;5.0;1.8;2.0;2.0;0.0;1.0;False;0.0;2.0;0.0;0.0;0.0
0.0;0.0;2.050498830661811;1.0;12.0;1.75;1.0;8.0;9.0;1.0;False;0.0;1.0;0.0;17.0;1.0
0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;9.0;1.0;False;0.0;1.0;0.0;17.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;False;0.0;0.0;0.0;17.0;1.0
0.0;0.0;3.4641016151377544;4.0;3.0;3.0;1.0;7.0;9.0;1.0;False;0.0;1.0;0.0;17.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;False;0.0;0.0;0.0;17.0;1.0
0.0;0.0;0.40824829046386296;1.0;6.0;1.1666666666666667;1.0;2.0;3.0;1.0;False;0.0;1.0;0.0;5.0;1.0
0.0;0.0;0.3947710169758613;1.0;22.0;1.181818181818182;1.0;2.0;20.0;1.0;False;0.0;1.0;0.0;21.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;0.0;False;0.0;0.0;0.0;21.0;1.0
0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;20.0;1.0;False;0.0;1.0;0.0;21.0;1.0
0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;20.0;1.0;False;0.0;1.0;0.0;21.0;1.0
0.0;0.0;1.5118578920369092;1.0;7.0;1.5714285714285714;1.0;5.0;2.0;1.0;False;0.0;1.0;0.0;2.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;False;0.0;0.0;0.0;2.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;False;0.0;0.0;0.0;2.0;1.0
0.0;0.0;0.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;False;0.0;2.0;0.0;2.0;1.0
0.0;0.0;0.0;1.0;3.0;1.0;1.0;1.0;2.0;1.0;False;0.0;1.0;0.0;2.0;1.0
0.0;0.0;0.0;5.0;1.0;5.0;5.0;5.0;2.0;5.0;False;0.0;5.0;0.0;2.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;False;0.0;0.0;0.0;2.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;False;0.0;0.0;0.0;2.0;1.0
0.0;0.0;1.4638501094227998;2.0;7.0;1.8571428571428568;1.0;5.0;2.0;1.0;False;0.0;1.0;0.0;7.0;1.0
0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;False;0.0;1.0;0.0;7.0;1.0
0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;False;0.0;1.0;0.0;7.0;1.0
0.0;0.0;0.7071067811865476;1.75;2.0;1.5;1.25;2.0;2.0;1.0;False;0.0;1.5;0.0;7.0;1.0
0.0;0.0;1.2776356840572631;2.0;17.0;1.5882352941176472;1.0;6.0;2.0;1.0;False;0.0;1.0;0.0;7.0;1.0
0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;False;0.0;1.0;0.0;7.0;1.0
0.0;0.0;0.8548504142651103;2.0;14.0;1.5;1.0;4.0;2.0;1.0;False;0.0;1.0;0.0;7.0;1.0
0.0;0.0;1.6756169931378433;2.0;13.0;1.8461538461538465;1.0;6.0;2.0;1.0;False;0.0;1.0;0.0;7.0;1.0
0.0;0.0;0.0;1.0;5.0;1.0;1.0;1.0;3.0;1.0;False;0.0;1.0;0.0;3.0;1.0
0.0;0.0;0.0;1.0;7.0;1.0;1.0;1.0;6.0;1.0;False;0.0;1.0;0.0;8.0;1.0
0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;False;0.0;1.0;0.0;1.0;1.0
0.0;0.0;0.0;1.0;4.0;1.0;1.0;1.0;3.0;1.0;False;0.0;1.0;0.0;4.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;False;0.0;0.0;0.0;4.0;1.0
0.0;0.0;0.18257418583505536;1.0;30.0;1.0333333333333334;1.0;2.0;18.0;1.0;False;0.0;1.0;0.0;24.0;1.0
0.0;0.0;0.0;1.0;6.0;1.0;1.0;1.0;4.0;1.0;False;0.0;1.0;0.0;5.0;1.0
0.0;0.0;4.949747468305833;6.25;2.0;4.5;2.75;8.0;1.0;1.0;False;0.0;4.5;0.0;8.0;1.0
0.0;0.0;3.5355339059327378;4.75;2.0;3.5;2.25;6.0;1.0;1.0;False;0.0;3.5;0.0;6.0;1.0
0.0;0.0;4.242640687119285;5.5;2.0;4.0;2.5;7.0;1.0;1.0;False;0.0;4.0;0.0;7.0;1.0
